slug,name,font_type,merchant_block_position,logo_placement,divider_style,total_divider_style,total_emphasis,layout_signature,money_row_order,quantity_column,barcode_placement,number_format,background_type,header_alignment,section_count
200-Degrees-Receipt,200 Degrees Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
2bisCafe-Paris-Receipt,2bisCafe Paris Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
34-Mayfair-Receipt,34 Mayfair Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,5
501(c)(3)-Donation-Receipt,501(c)(3) Donation Receipt,MERCHANT_COPY,TOP,TOP,EQUALS,NONE,NONE,HEADER|CUSTOM|DATE|CUSTOM|CUSTOM|ITEMS|BARCODE,ITEM>TOTAL,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,7
7-Eleven-Receipt,7-Eleven Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,9
99-Ranch-Market-Receipt,99 Ranch Market Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,5
ABC-Fine-Wine-and-Spirits-Receipt,ABC Fine Wine & Spirits Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,3
ACME-Grocery-Receipt,ACME Grocery Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|DATE|ITEMS|CUSTOM|CUSTOM|BARCODE|CUSTOM|CUSTOM,ITEM>TOTAL,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
AEON-Health-and-Beauty-Receipt,AEON Health & Beauty Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
AEON-Receipt,AEON Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
ALDI-Receipt,ALDI Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,DASHES,NONE,HEADER|ITEMS|DATE|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
AMC-Theatres-Receipt,AMC Theatres Receipt,MERCHANT_COPY,TOP,TOP,DASHES,EMPTY,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,7
ARCO-Receipt,ARCO Receipt,MERCHANT_COPY,TOP,TOP,DOTS,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|DATE,SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH>ITEM,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,8
ASDA-Store-Receipt,ASDA Store Receipt,MERCHANT_COPY,MIDDLE,MIDDLE,DASHES,NONE,NONE,CUSTOM|CUSTOM|HEADER|ITEMS|CUSTOM|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,ITEM>TOTAL>TENDER,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,10
ASK-Italian-Receipt,ASK Italian Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
ATandT-Retail-Store-Receipt,AT&T Retail Store Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,RIGHT,7
AandW-Fast-Food-Receipt,A&W Fast Food Receipt,MERCHANT_COPY,TOP,TOP,EQUALS,EQUALS,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|ITEMS|CUSTOM,ITEM>TOTAL>TAX,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Abercrombie-and-Fitch-Receipt,Abercrombie & Fitch Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,7
Abortion-Receipt,Abortion Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,8
Academy-Sports-+-Outdoors-Receipt,Academy Sports + Outdoors Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|CUSTOM|ITEMS|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,LEFT,5
Accurate-Biometrics-Receipt,Accurate Biometrics Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Ace-Receipt,Ace Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|RESTAURANT|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_2,CENTER,7
Acne-Studios-Receipt,Acne Studios Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,LEFT,7
Action-Receipt,Action Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|CUSTOM|ITEMS|ITEMS|CUSTOM|ITEMS|CUSTOM|BARCODE,ITEM,ABSENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,9
Adams-Catfish-House-Receipt,Adams Catfish House Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,3
Adidas-Receipt,Adidas Receipt,MERCHANT_COPY,TOP,TOP,DASHES,EMPTY,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|ITEMS|ITEMS|PAYMENT|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM|CUSTOM,ITEM>META>AUTH>TENDER>TOTAL,PRESENT,MIDDLE,LEFT,CRUMPLED_2,CENTER,13
Advance-Auto-Parts-Receipt,Advance Auto Parts Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|BARCODE|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,5
Aeropostale-Broadway-Mall-Receipt,Aéropostale Broadway Mall Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Airport-Parking-Receipt,Airport Parking Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|DATE|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,ABSENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,8
Airport-Taxi-Receipt,Airport Taxi Receipt,MERCHANT_COPY,TOP,TOP,STARS,NONE,PERCENT_20,HEADER|DATE|CUSTOM|ITEMS|CUSTOM|PAYMENT,ITEM>TOTAL>TENDER>META>AUTH,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Albert-Heijn-Receipt,Albert Heijn Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Albertsons-Receipt,Albertsons Receipt,UNSET,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|DATE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,UNSET,UNSET,CENTER,6
Alcampo-Spain-Receipt,Alcampo Spain Receipt,MERCHANT_COPY,TOP,NONE,NONE,EQUALS,NONE,HEADER|ITEMS|ITEMS|CUSTOM|ITEMS|BARCODE|CUSTOM,ITEM,PRESENT,MIDDLE,LEFT,CRUMPLED_1,LEFT,7
All-Saints-Receipt,All Saints Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|RESTAURANT|ITEMS|CUSTOM,META>ITEM>SUBTOTAL>TAX>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Amano-Receipt,Amano Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|PAYMENT|CUSTOM,META>ITEM>SUBTOTAL>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,3
American-Deli-Receipt,American Deli Receipt,MERCHANT_COPY,TOP,TOP,DASHES,EQUALS,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
American-Eagle-Outfitters-Receipt,American Eagle Outfitters Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|BARCODE|CUSTOM|ITEMS|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
American-Eagle-Receipt-Description,American Eagle Receipt  Description,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
American-Eagle-Receipt,American Eagle Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|BARCODE|CUSTOM|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Ancol-Jimbaran-Receipt,Ancol Jimbaran Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,5
